"Plot","Taxon","Cover"
"LB1-19","Salix breviserrata",6
"EC2-19","Sanguisorba minor",1
"EC1-19","Sanguisorba minor",0.1
"LC1-19","Saxifraga conifera",0.5
"LC2-19","Saxifraga conifera",2
"HR1-19","Saxifraga conifera",0.01
"HR1-19","Saxifraga oppositifolia",3
"CB1-19","Saxifraga oppositifolia",1
"LC2-19","Scilla verna",2
"LC1-19","Scilla verna",0.5
"LB2-19","Sedum brevifolium",0.1
"UR1-19","Selaginella selaginoides",0.1
"HA2-19","Sempervivum vicentei",1
"HI2-19","Jacobaea boissieri",0.01
"HI1-19","Jacobaea boissieri",1
"EC2-19","Seseli libanotis",3
"EC1-19","Seseli libanotis",0.1
"HA2-19","Seseli montanum",0.5
"LC1-19","Sesleria caerulea",15
"LC2-19","Sesleria caerulea",0.5
"UR2-19","Sesleria caerulea",25
"UR1-19","Sesleria caerulea",8
"HR1-19","Silene acaulis",15
"HR2-19","Silene acaulis",35
"LB2-19","Silene acaulis",1
"LB1-19","Silene acaulis",5
"HI2-19","Silene acaulis",0.5
"HA2-19","Silene ciliata",0.25
"HR1-19","Silene ciliata",1
"HR2-19","Silene ciliata",0.5
"UR2-19","Thymus praecox subsp. ligusticus",0.5
"EC2-19","Thymus praecox subsp. ligusticus",5
"EC1-19","Thymus praecox subsp. ligusticus",0.5
"UR1-19","Thymus praecox subsp. ligusticus",3
"LC1-19","Thymus praecox subsp. ligusticus",0.5
"LC2-19","Thymus praecox subsp. ligusticus",3
"HA1-19","Thymus praecox subsp. ligusticus",2
"HI2-19","Thymus praecox subsp. ligusticus",3
"LB2-19","Thymus praecox subsp. ligusticus",2
"HA2-19","Thymus praecox subsp. ligusticus",8
"LB1-19","Thymus praecox subsp. ligusticus",1.5
"HR1-19","Thymus praecox subsp. ligusticus",5
"HR2-19","Thymus praecox subsp. ligusticus",5
"HI1-19","Thymus praecox subsp. ligusticus",0.5
"HR1-19","Veronica aphylla",0.5
"HR2-19","Veronica aphylla",0.5
"LB2-19","Veronica nummularia",1
"UR2-19","Viola pyrenaica",0.02
"EC2-19","Viola pyrenaica",0.5
"EC1-19","Viola pyrenaica",0.1
"UR1-19","Viola riviniana",0.25
